 40|  0  40  37  34  31  28  25  22  19  16  13  10   7   4   1  41  38  35  32  29  26  23  20  17  14  11   8   5   2  42  39  36  33  30  27  24  21  18  15  12   9   6   3 
 41|  0  41  39  37  35  33  31  29  27  25  23  21  19  17  15  13  11   9   7   5   3   1  42  40  38  36  34  32  30  28  26  24  22  20  18  16  14  12  10   8   6   4   2 
 42|  0  42  41  40  39  38  37  36  35  34  33  32  31  30  29  28  27  26  25  24  23  22  21  20  19  18  17  16  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1 

   |  1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1|  1 
  2|  2   4   8  16  32  21  42  41  39  35  27  11  22   1 
  3|  3   9  27  38  28  41  37  25  32  10  30   4  12  36  22  23  26  35  19  14  42  40  34  16   5  15   2   6  18  11  33  13  39  31   7  21  20  17   8  24  29   1 
  4|  4  16  21  41  35  11   1 
  5|  5  25  39  23  29  16  37  13  22  24  34  41  33  36   8  40  28  11  12  17  42  38  18   4  20  14  27   6  30  21  19   9   2  10   7  35   3  15  32  31  26   1 
  6|  6  36   1 
  7|  7   6  42  36  37   1 
  8|  8  21  39  11   2  16  42  35  22   4  32  41  27   1 
  9|  9  38  41  25  10   4  36  23  35  14  40  16  15   6  11  13  31  21  17  24   1 
 10| 10  14  11  24  25  35   6  17  41  23  15  21  38  36  16  31   9   4  40  13   1 
 11| 11  35  41  21  16   4   1 
 12| 12  15   8  10  34  21  37  14  39  38  26  11   3  36   2  24  30  16  20  25  42  31  28  35  33   9  22   6  29   4   5  17  32  40   7  41  19  13  27  23  18   1 
 13| 13  40   4   9  31  16  36  38  21  15  23  41  17   6  35  25  24  11  14  10   1 
 14| 14  24  35  17  23  21  36  31   4  13  10  11  25   6  41  15  38  16   9  40   1 
 15| 15  10  21  14  38  11  36  24  16  25  31  35   9   6   4  17  40  41  13  23   1 
 16| 16  41  11   4  21  35   1 
 17| 17  31  11  15  40  35  36  10  41   9  24  21  13   6  16  14  23   4  25  38   1 
 18| 18  23  27  13  19  41   7  40  32  17   5   4  29   6  22   9  33  35  28  31  42  25  20  16  30  24   2  36   3  11  26  38  39  14  37  21  34  10   8  15  12   1 
 19| 19  17  22  31  30  11  37  15  27  40  29  35  20  36  39  10  18  41   5   9  42  24  26  21  12  13  32   6  28  16   3  14   8  23   7   4  33  25   2  38  34   1 
 20| 20  13   2  40  26   4  37   9   8  31  18  16  19  36  32  38  29  21  33  15  42  23  30  41   3  17  39   6  34  35  12  25  27  24   7  11   5  14  22  10  28   1 
 21| 21  11  16  35   4  41   1 
 22| 22  11  27  35  39  41  42  21  32  16   8   4   2   1 
 23| 23  13  41  40  17   4   6   9  35  31  25  16  24  36  11  38  14  21  10  15   1 
 24| 24  17  21  31  13  11   6  15  16  40  14  35  23  36   4  10  25  41  38   9   1 
 25| 25  23  16  13  24  41  36  40  11  17  38   4  14   6  21   9  10  35  15  31   1 
 26| 26  31  32  15   3  35   7  10   2   9  19  21  30   6  27  14  20   4  18  38  42  17  12  11  28  40   8  36  33  41  34  24  22  13  37  16  29  23  39  25   5   1 
 27| 27  41  32   4  22  35  42  16   2  11  39  21   8   1 
 28| 28  10  22  14   5  11   7  24  27  25  12  35  34   6  39  17   3  41  30  23  42  15  33  21  29  38  32  36  19  16  18  31   8   9  37   4  26  40   2  13  20   1 
 29| 29  24   8  17  20  21   7  31  39  13  33  11  18   6   2  15   5  16  34  40  42  14  19  35  26  23  22  36  12   4  30  10  32  25  37  41  28  38  27   9   3   1 
 30| 30  40  39   9  12  16   7  38  22  15  20  41  26   6   8  25  19  11  29  10  42  13   3   4  34  31  27  36   5  21  28  23   2  17  37  35  18  24  32  14  33   1 
 31| 31  15  35  10   9  21   6  14   4  38  17  11  40  36  41  24  13  16  23  25   1 
 32| 32  35   2  21  27   4  42  11   8  41  22  16  39   1 
